site,buyer_city,buyer_id,package,destination_id,destination_type,regency_country,regency_market,regency_cluster
2,37449,1,0,12243,6,204,27,90
2,37449,1,0,14474,7,204,1540,64
2,17440,20,0,11353,1,50,699,64
2,34156,28,1,8250,1,50,628,99
2,36345,50,0,11812,1,50,538,64
2,48189,51,0,11827,1,50,447,64
2,48189,51,0,8271,1,50,696,64
2,24811,51,0,8291,1,50,191,62
2,48189,51,0,8250,1,50,628,57
2,48189,51,0,9145,1,50,364,64
2,48189,51,0,12267,6,50,1230,31
11,44496,56,0,20813,6,70,312,64
2,5021,57,0,11353,1,50,699,62
2,5021,57,0,8826,1,47,1501,64
2,5021,57,0,8228,1,198,371,99
2,5021,57,0,1886,1,198,789,62
2,5021,57,0,8268,1,50,682,99
2,5021,57,0,12008,1,50,686,64
2,5021,57,0,8243,1,50,409,99
2,5021,57,0,8809,1,50,698,64
2,5021,57,0,8219,1,50,688,99
2,5021,57,0,8260,1,50,701,99
2,5021,57,0,8826,1,47,1511,64
2,5021,57,0,1152,1,47,1502,62
2,5021,57,0,8267,1,50,675,99
2,24103,65,0,8267,1,50,675,57
11,36086,87,0,8217,1,34,43,5
2,5938,98,0,4406,3,50,368,62
2,39058,102,0,26437,6,50,856,78
2,20170,108,1,8791,1,8,110,29
11,41495,109,0,8788,1,77,2,43
2,23000,124,1,8803,1,151,69,2
2,28950,130,0,11984,1,50,550,31
2,1271,138,0,8250,1,50,628,64
2,8978,138,0,12269,6,50,1230,31
2,8657,150,0,25728,1,50,495,82
2,8657,150,0,25727,1,50,1184,82
2,30455,157,0,50688,4,50,544,60
2,50661,165,0,8789,1,63,962,57
2,41517,178,0,12269,6,50,1230,31
11,14703,224,0,18569,1,182,83,61
11,14703,224,0,8220,1,182,46,48
2,55926,233,0,60704,6,50,406,53
2,1803,242,1,8250,1,50,628,99
34,21728,243,0,26022,6,198,397,85
2,24562,259,1,11621,1,50,703,20
2,24562,259,0,11975,1,50,1507,31
2,24562,259,0,11569,1,50,623,3
2,31350,263,0,8259,1,8,121,90
2,56322,264,0,66,1,50,423,46
2,76,264,0,11821,1,50,648,3
2,49618,276,0,12225,6,50,701,98
2,1437,287,0,14812,1,50,928,3
2,48113,290,0,19035,1,144,1393,3
2,48113,290,0,8743,1,144,24,20
2,43398,292,0,9524,1,50,561,99
2,7532,294,0,4475,1,50,1343,62
11,10033,297,0,25373,1,50,716,82
11,10033,297,0,26152,1,50,1250,82
2,22202,298,0,27035,6,50,523,85
2,22202,298,0,12276,6,50,191,46
2,22202,298,0,11993,1,50,438,31
2,13277,300,0,635,1,162,1039,62
2,13277,300,0,20324,6,126,232,86
2,14546,300,0,8263,1,17,23,67
2,14546,300,0,8862,1,204,1466,86
2,18037,300,0,12857,5,70,1914,61
2,14566,300,0,1398,3,141,1240,62
2,25914,300,0,5497,1,182,79,61
2,14566,300,0,8227,1,104,67,35
2,14566,300,0,8796,1,104,1003,3
2,35388,350,0,468,1,48,153,82
2,35388,350,0,23116,6,70,761,85
2,35388,350,0,8289,1,107,36,18
2,35388,350,0,8739,1,144,4,11
2,35388,350,0,8790,1,199,5,62
2,35388,350,0,8213,1,68,275,57
2,35388,350,0,8808,1,169,28,5
2,54525,353,0,14985,1,50,1241,3
